sl_store,sl_address,sl_city,sl_zip,sl_latitude,sl_longitude,sl_tags,sl_phone,Polizeipräsidium
Polizeirevier Metzingen,Ulmer Straße 96,Metzingen,72555,48.53479,9.29091,Polizeirevier,07123/924 - 0,Reutlingen
Polizeirevier Münsingen,Karlstraße 2,Münsingen,72525,48.4113143,9.4916674,Polizeirevier,07381/9364 - 0,Reutlingen
Polizeirevier Nürtingen,Europastraße 34,Nürtingen,72622,48.62911,9.33628,Polizeirevier,07022 9224-0,Reutlingen
Polizeirevier Pfullingen,Burgstraße 26,Pfullingen,72793,48.4710361,9.2297361,Polizeirevier,07121/9918 - 0,Reutlingen
Polizeirevier Reutlingen,Burgstraße 27 - 29,Reutlingen,72764,48.49069,9.22134,Polizeirevier,07121 942-3333,Reutlingen
Polizeirevier Rottenburg,Königstraße 9,Rottenburg am Neckar,72108,48.4779814,8.9347265,Polizeirevier,07472 9801-0,Reutlingen
Polizeirevier Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.5096732,9.0489565,Polizeirevier,07071 972-1400,Reutlingen
Kriminalpolizeidirektion Esslingen,Agnespromenade 4,Esslingen am Neckar,73728,48.743119,9.304437,Direktion,0711 3990-0,Esslingen
Kriminaldauerdienst Reutlingen,Kaiserstraße 101-103,Reutlingen,72764,48.4907,9.220699,,07121 942-0,Reutlingen
Kriminalkommissariat Reutlingen,Kaiserstraße 103,Reutlingen,72764,48.4905902,9.2209066,,07121 942-0,Reutlingen
Kriminalkommissariat Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.510008,9.048763,,07071 972-4004,Reutlingen
Verkehrsdienst Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.5096732,9.0489565,Direktion,07071 972-8503,Reutlingen
Verkehrsdienst Esslingen,Agnespromenade 4,Esslingen am Neckar,73728,48.743119,9.304437,,0711 3990-0,Esslingen
Polizeipräsidium Stuttgart,Hahnemannstraße 1,Stuttgart,70191,48.81046,9.18686,Polizeipräsidium,0711 8990-0,Stuttgart
Polizeirevier 1 Theodor-Heuss-Straße,Theodor-Heuss-Straße 11,Stuttgart,70174,48.7769268,9.1744498,Polizeirevier,0711 8990-3100,Stuttgart
Polizeirevier 2 Wolframstraße,Wolframstraße 36,Stuttgart,70191,48.7922325,9.1830113,Polizeirevier,0711 8990-3200,Stuttgart
Polizeirevier 3 Gutenbergstraße,Gutenbergstraße 109/111,Stuttgart,70197,48.7700658,9.1539327,Polizeirevier,0711 8990-3300,Stuttgart
Polizeirevier 4 Balinger Straße,Balinger Straße 31,Stuttgart,70567,48.72991,9.14272,Polizeirevier,0711 8990-3400,Stuttgart
